Year,RoundName,MatchId,Player,WebsiteId,Team,Abbreviation,Image,Rating_Q1,Rating_Q2,Rating_Q3,Rating_Q4,RatingPoints,EstimatedRating,Equity_PreClearance,Equity_PostClearance,Equity_Possession,Equity_BallUse,Supercoach,DreamTeamPoints,TimeOnGround,Kicks,Handballs,Disposals,DisposalEfficiency,MetresGained,AssistedMetresGained,Inside50s,Turnovers,Tackles,PressureActs,KickIns,ContestedPossessions,GroundBallGets,PostClearanceContestedPossessions,PostClearanceGroundBallGets,HandballReceives,Intercepts,Marks,ContestedMarks,InterceptMarks,CentreBounceAttendancePercentage,TotalClearances,FirstPossessions,RuckContests,Hitouts,HitoutsToAdvantage,ShotsAtGoal,Goals,Behinds,xScore,xScoreRating,GoalAssists,ScoreInvolvements,ScoreLaunches
2026,Round 22,20262202,Cam Rayner,14077fb,Brisbane,Bris,images/afl_logos/Bris-40.png,1.1,4.5,1.9,7,14.4,10.14,2,9.3,6,5.5,72,68,83,10,5,15,73.3,341,194,5,1,2,16,0,5,1,4,1,3,3,5,2,1,13,1,1,0,0,0,2,1,1,7.8,-0.8,1,6,1
2026,Round 22,20262202,Blake Hardwick,2dae82,Hawthorn,Haw,images/afl_logos/Haw-40.png,6.9,5.3,1.1,1.1,14.4,9.67,0,14.8,7.6,3.9,105,66,92,13,6,19,89.5,473,156,1,5,1,3,4,9,4,9,4,5,7,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2
2026,Round 22,20262202,Lloyd Meek,1407314,Hawthorn,Haw,images/afl_logos/Haw-40.png,5.8,3.5,1.9,2.6,13.9,11.37,9.5,1.5,4.3,4,88,61,59,5,7,12,83.3,131,175,3,1,2,9,0,6,1,1,1,5,2,1,0,0,57,4,5,48,21,7,0,0,0,0,0,0,5,3
2026,Round 22,20262202,Massimo D'Ambrosio,1408358,Hawthorn,Haw,images/afl_logos/Haw-40.png,1.8,6,2.4,3.6,13.8,9.46,0,10.9,2.7,9.3,93,99,75,17,5,22,77.3,648,261,7,6,2,11,0,4,4,4,4,10,3,8,0,0,0,0,0,0,0,0,2,1,0,5.7,0.3,1,4,0
2026,Round 22,20262202,Harris Andrews,2db75b,Brisbane,Bris,images/afl_logos/Bris-40.png,7.7,0.4,1.6,3.3,12.9,11.48,0,11.7,8.9,2.2,90,69,95,10,4,14,92.9,248,135,1,2,1,7,0,7,3,7,3,0,9,10,4,5,0,0,0,0,0,0,0,0,0,0,0,0,2,1
2026,Round 22,20262202,Conor McKenna,2dbe56,Brisbane,Bris,images/afl_logos/Bris-40.png,1.4,5.7,3.2,2.3,12.6,8.44,1.2,8.5,5.6,4.1,62,53,82,12,2,14,78.6,278,182,3,3,1,12,0,4,2,4,2,4,2,3,0,0,0,1,1,0,0,0,2,0,0,3.2,-3.2,1,6,1
2026,Round 22,20262202,Sam Draper,1408509,Brisbane,Bris,images/afl_logos/Bris-40.png,1.3,1.1,6.2,3.9,12.5,12.08,5.5,7.1,5,5.8,53,54,56,7,2,9,55.6,81,59,1,2,1,5,0,4,0,2,0,0,0,2,1,0,47,3,4,44,15,5,1,1,0,2.6,3.4,1,5,3
2026,Round 22,20262202,Jarrod Berry,2dbf75,Brisbane,Bris,images/afl_logos/Bris-40.png,2.3,1.5,5.1,3.1,12,8.16,1.1,7.8,4.7,2.4,91,98,78,15,7,22,68.2,490,258,5,3,4,13,0,7,6,6,5,5,6,7,0,1,0,1,1,0,0,0,1,0,1,2.4,-1.4,0,5,1
2026,Round 22,20262202,Ryan Lester,22f75c,Brisbane,Bris,images/afl_logos/Bris-40.png,1.9,4.3,2.5,2.9,11.6,8.86,1,10.2,4.2,3.9,58,45,89,6,4,10,80,164,39,0,1,1,9,0,4,4,3,3,2,5,3,0,2,0,1,1,0,0,0,1,1,0,4.6,1.4,0,2,1
2026,Round 22,20262202,Levi Ashcroft,140ded0,Brisbane,Bris,images/afl_logos/Bris-40.png,2.8,3.5,0.3,4.2,10.9,8.29,0.1,7.8,8.9,-1.8,87,98,82,16,11,27,77.8,363,312,5,3,1,18,0,9,8,8,7,8,7,7,0,0,17,1,1,0,0,0,2,0,2,4.9,-2.9,1,8,3
2026,Round 22,20262202,Charlie Cameron,2da211,Brisbane,Bris,images/afl_logos/Bris-40.png,0.2,5.6,-0.9,5.8,10.7,8.71,0,7.4,6.8,1.6,64,77,81,11,4,15,60,268,131,4,4,1,11,0,2,0,2,0,2,0,5,2,0,0,0,0,0,0,0,6,3,2,21.8,-1.8,0,6,0
2026,Round 22,20262202,Jaspa Fletcher,140cbdc,Brisbane,Bris,images/afl_logos/Bris-40.png,2,2.1,1.9,4.2,10.1,8.38,0.6,6.5,2.5,4.6,70,69,87,9,6,15,86.7,261,358,3,1,3,14,1,3,3,2,2,5,3,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,3
2026,Round 22,20262202,Dylan Moore,14087ea,Hawthorn,Haw,images/afl_logos/Haw-40.png,4,1.6,4.3,-0.2,9.7,9.88,0.9,5,5.3,0.6,77,81,84,9,13,22,68.2,310,229,3,4,0,10,0,5,3,4,2,9,0,7,1,0,3,1,0,0,0,0,2,1,1,6,1,0,5,1
2026,Round 22,20262202,Darcy Fort,231163,Brisbane,Bris,images/afl_logos/Bris-40.png,2,4.2,0.9,2,9.1,10.08,3.5,3.8,5.4,1.3,60,45,61,7,2,9,77.8,113,160,1,1,0,4,0,6,4,2,1,1,1,4,1,1,53,3,4,41,11,3,0,0,0,0,0,1,4,2
2026,Round 22,20262202,Jack Gunston,22f697,Hawthorn,Haw,images/afl_logos/Haw-40.png,0.5,3.9,1.5,2.9,8.9,8.96,0,7.6,1.2,8.1,52,57,94,5,1,6,66.7,141,-1,0,1,3,12,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,4,3,0,13.1,4.9,0,4,0
